Anomaloglossus tepuyensis
Arthroleptis variabilis
Arthroleptis wahlbergii
Atelopus carrikeri
Atelopus andinus
Atelopus oxyrhynchus
Atelopus spumarius
Atelopus pachydermus
Atelopus spurrelli
Austrochaperina basipalmata
Austrochaperina palmipes
Austrochaperina rivularis
Babina adenopleura
Austrochaperina robusta
Babina pleuraden
Batrachylodes vertebralis
Batrachylodes wolfi
Boophis englaenderi
Buergeria oxycephala
Cacosternum karooicum
Callulops humicola
Callulops robustus
Ceratobatrachus guentheri
Chiromantis rufescens
Chiromantis doriae
Colostethus panamansis
Cophixalus cheesmanae
Cophixalus parkeri
Cophixalus riparius
Craugastor bransfordii
Craugastor mexicanus
Craugastor podiciferus
Craugastor longirostris
Craugastor vocalis
Crinia glauerti
Crinia insignifera
Crinia signifera
Cryptobatrachus fuhrmanni
Dendropsophus labialis
Dendropsophus bifurcus
Dendropsophus minusculus
Dendropsophus sartori
Dendropsophus nanus
Discodeles guppyi
Edalorhina perezi
Elachistocleis bicolor
Eleutherodactylus abbotti
Eleutherodactylus cuneatus
Eleutherodactylus bartonsmithi
Eleutherodactylus greyi
Eleutherodactylus eileenae
Eleutherodactylus goini
Eleutherodactylus minutus
Eleutherodactylus pallidus
Eleutherodactylus klinikowskii
Eleutherodactylus riparius
Eleutherodactylus poolei
Eleutherodactylus ricordii
Eleutherodactylus schmidti
Eleutherodactylus zeus
Engystomops petersi
Epipedobates tricolor
Eupsophus roseus
Fejervarya multistriata
Fejervarya verruculosa
Gastrotheca riobambae
Gastrotheca dunni
Gastrotheca griswoldi
Gephyromantis luteus
Gephyromantis malagasius
Glandirana rugosa
Holoaden bradei
Hoplobatrachus occipitalis
Hyla annectans
Hylarana albolabris
Hylarana daemeli
Hylarana grisea
Hylarana guentheri
Hylarana kreffti
Hylarana papua
Hylarana supragrisea
Hyloxalus elachyhistus
Hyloxalus fuliginosus
Hyloxalus infraguttatus
Hyperolius glandicolor
Hyloxalus toachi
Hyperolius mitchelli
Hyperolius pusillus
Hypsiboas boans
Hypsiboas cinerascens
Hypsiboas picturatus
Hypsiboas fasciatus
Hypsiboas crepitans
Incilius alvarius
Incilius occidentalis
Incilius mazatlanensis
Leptodactylus albilabris
Leptodactylus bolivianus (complex)
Leptodactylus petersii
Leptodactylus rugosus
Leptodactylus pustulatus
